,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,component 1,component 2,component 3,K-means PCA,Segment
10368,SF000236780,"ROBERTSON, SF",-33.8,19.9,204.0,2023-02-14,0.0,23.6,35.9,17.4,-13.846065014218558,-0.6786052568996989,-0.48279409852765603,0,Solar
6709,SF003044460,"MTUNZINI, SF",-28.95,31.7,38.0,2022-08-04,0.0,19.5,27.6,12.9,-3.5622650550937,-0.7065200020675063,-0.8995427752506833,0,Solar
9963,SF000104560,"RIVERSDALE, SF",-34.083,21.25,116.0,2022-10-12,0.0,18.9,26.0,16.9,-3.911457226170142,1.5557444529996447,-3.31984238374011,0,Solar
4891,SFM00068461,"BETHLEHEM, SF",-28.248,28.336,1695.0,2023-03-12,2.0,17.3,27.7,12.3,-2.4172630259573293,0.15025463849724255,1.5347559686378998,0,Solar
10103,SF000104560,"RIVERSDALE, SF",-34.083,21.25,116.0,2023-03-04,4.1,20.4,29.3,18.3,-7.6533850871903235,4.631741735625367,-0.5062095808892026,0,Solar
1179,SF003724960,"VRYHEID, SF",-27.783,30.8,1163.0,2023-03-11,0.0,23.3,31.7,16.0,-9.76669175289357,0.0549298051173532,-1.8494288452171175,0,Solar
4641,SF003174470,"UPINGTON AGR., SF",-28.45,21.25,794.0,2023-03-10,0.0,27.8,39.9,11.5,-15.964842426888774,-3.929434336208914,2.525724556246698,0,Solar
3047,SF002146700,"SPRINGBOK, SF",-29.667,17.9,1007.0,2023-01-15,0.0,29.8,37.3,23.2,-20.144839335990202,2.709233486515646,-5.07614951044458,0,Solar
11581,SF001753710,"ALIWAL NORTH, SF",-30.8,26.883,1351.0,2022-12-07,0.0,20.3,30.5,9.4,-4.549975440241703,-3.1444086049667535,1.867621067744483,0,Solar
4384,SF001506200,"ELLIOT, SF",-31.333,27.85,1463.0,2023-04-07,0.0,19.7,28.2,11.1,-3.2822430461751457,-1.6972170014254935,0.15788615412355306,0,Solar
437,SF000068296,"SKUKUZA, SF",-24.983,31.6,271.0,2023-02-16,0.0,27.3,34.0,22.6,-16.254873655726414,3.0736211083909692,-5.426985200960461,0,Solar
10577,SF003605120,"TAUNG, SF",-27.55,24.767,1100.0,2023-03-13,0.0,23.3,33.7,15.3,-11.018408015305523,-0.9484891663033409,-0.5039339452287771,0,Solar
5324,SF000068858,"EAST LONDON, SF",-33.033,27.833,125.0,2023-02-02,0.0,18.9,22.0,14.8,0.21314761949692496,1.9586754330390796,-4.385996158362976,0,Solar
2480,SF000347620,"UITENHAGE, SF",-33.7,25.433,157.0,2023-01-11,0.0,25.1,33.2,19.6,-13.344593170850109,1.5433309078098107,-3.514527000796971,0,Solar
8748,SF001344780,"CALVINIA, SF",-31.467,19.767,975.0,2023-01-23,0.0,22.2,33.9,13.3,-9.804456945006798,-2.1475551063665743,0.9905728955216406,0,Solar
371,SF000068296,"SKUKUZA, SF",-24.983,31.6,271.0,2022-12-10,0.0,27.6,37.9,19.8,-18.152447523052516,0.5177933278406237,-2.263626378084065,0,Solar
3822,SF000414170,"MALMESBURY, SF",-33.467,18.717,102.0,2023-03-14,0.0,23.9,33.7,13.9,-10.612754701305247,-1.4731698144865149,-0.10707754007909978,0,Solar
7624,SF000288380,"GEORGE AIRPORT, SF",-34.017,22.383,190.0,2022-10-16,6.1,18.9,24.5,13.8,-1.124139503813724,5.510130321798128,0.9430702090693664,0,Solar
6769,SF003044460,"MTUNZINI, SF",-28.95,31.7,38.0,2022-12-12,1.0,22.4,26.8,21.6,-8.107484569000684,4.915534725543373,-5.98145415307325,0,Solar
11368,SF001130250,"FRASERBURG, SF",-31.917,21.517,1268.0,2023-01-30,0.0,22.1,29.0,10.5,-4.605970539153673,-1.7776989645566637,-0.16767146924472728,0,Solar
1188,SF003724960,"VRYHEID, SF",-27.783,30.8,1163.0,2023-03-20,0.0,22.4,32.8,17.2,-10.825071741010769,0.05406689001273091,-1.4656082427888424,0,Solar
4327,SF001506200,"ELLIOT, SF",-31.333,27.85,1463.0,2023-02-04,0.0,23.1,27.2,14.1,-5.259799105802919,0.681211294005152,-3.1792029814494525,0,Solar
4877,SFM00068461,"BETHLEHEM, SF",-28.248,28.336,1695.0,2023-02-20,16.0,18.6,27.5,12.1,-2.304207294099062,11.541120039950858,9.214649783324763,0,Solar
1221,SFM00068591,"MARGATE, SF",-30.85,30.333,154.0,2022-07-10,0.0,18.6,25.0,14.1,-1.7051361990368208,0.5554966037194317,-2.403698408419925,0,Solar
966,SF000798110,"DOHNE, SF",-32.517,27.467,900.0,2023-03-23,0.0,21.2,25.1,15.8,-3.6235612866642697,1.806894509628899,-4.238549448096286,0,Solar
470,SF000068296,"SKUKUZA, SF",-24.983,31.6,271.0,2023-03-21,0.0,25.7,34.9,18.7,-14.510094020278068,0.6675378837099453,-2.4823414871607574,0,Solar
9051,SF000782270,"FORT BEAUFORT, SF",-32.783,26.633,455.0,2023-02-16,14.0,19.5,26.1,17.7,-4.214701311575281,13.166110856759467,4.344149393288075,0,Solar
3828,SF000414170,"MALMESBURY, SF",-33.467,18.717,102.0,2023-03-20,1.0,19.0,27.5,16.3,-4.828194089546028,1.5855060628147764,-1.7296947836482326,0,Solar
2661,SFM00068538,"DEAAR UA, SF",-30.667,24.017,1287.0,2022-10-04,0.0,17.5,29.6,7.6,-1.8739123147027437,-4.20753810486755,3.4250442508897794,0,Solar
1431,SFM00068591,"MARGATE, SF",-30.85,30.333,154.0,2023-02-15,0.0,26.6,30.7,24.0,-14.019739001812558,4.705173405537374,-7.465532635225498,0,Solar
8153,SF003336820,"VAN REENEN, SF",-28.367,29.383,1680.0,2022-10-10,0.0,16.2,31.1,11.6,-4.3825432285859325,-3.139724390127742,2.881820242013084,0,Solar
12131,SF000068438,"KIMBERLEY, SF",-28.8,24.767,1196.0,2023-02-26,0.0,25.2,36.3,12.8,-12.678079842753732,-2.6114390824254663,1.1819355366568922,0,Solar
1861,SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,2022-09-26,0.5,20.4,29.9,13.6,-6.0491761785284766,-0.5968411612192692,-0.13632604976887852,0,Solar
2721,SFM00068538,"DEAAR UA, SF",-30.667,24.017,1287.0,2022-12-03,0.3,19.7,30.2,7.6,-3.228687393228353,-3.744597067945278,2.9797663277260193,0,Solar
